tide,behavior,dive_time_obs,tidal_height,general_tide
low_flood,diving,52,NA,low
low_flood,diving,65,NA,low
low_flood,diving,73,NA,low
mid_flood,diving,53,2.2,mid
mid_flood,diving,51,2.2,mid
low_slack,diving,51,0,low
low_slack,diving,35,0,low
low_slack,diving,29,0,low
low_slack,diving,27,0,low
low_slack,diving,59,0,low
low_slack,diving,76,0,low
low_slack,diving,77,0,low
low_slack,diving,50,0,low
low_slack,diving,35,0,low
high_flood,diving,31.05,8.7,high
high_flood,diving,42.01,8.7,high
high_flood,diving,46.31,8.7,high
high_flood,diving,30,3.2,high
high_flood,diving,39,3.2,high
high_flood,diving,36,3.2,high
high_flood,diving,38,3.2,high
high_flood,diving,36,3.2,high
high_flood,diving,35,3.2,high
high_flood,diving,41,3.2,high
high_flood,diving,35,3.2,high
high_slack,diving,44,3.3,high
high_slack,diving,31,3.3,high
high_slack,diving,22,3.3,high
high_slack,diving,44,3.3,high
high_slack,diving,45,3.3,high
high_slack,diving,51,3.3,high
high_slack,diving,38,3.3,high
high_slack,diving,32,3.3,high
high_slack,diving,41,3.3,high
high_slack,diving,35,3.3,high
high_slack,diving,47,3.3,high
high_slack,diving,60,3.3,high
high_slack,diving,13,3.3,high
high_slack,diving,13,3.3,high
high_slack,diving,13,3.3,high
high_slack,diving,50,3.3,high
high_slack,diving,51,3.3,high
high_slack,diving,52,3.3,high
high_slack,diving,51,3.3,high
high_slack,diving,27,3.3,high
high_slack,diving,37,3.3,high
high_slack,diving,49,3.3,high
high_slack,diving,48,3.3,high
high_slack,diving,38,3.3,high
high_slack,diving,37,3.3,high
high_slack,diving,20,3.3,high
high_ebb,diving,36,2.4,high
high_ebb,diving,64,2.4,high
high_ebb,diving,57,2.4,high
high_ebb,diving,29,2.4,high
high_ebb,diving,64,2.4,high
high_slack,diving,57,3.5,high
high_slack,diving,57,3.5,high
high_slack,diving,46,3.5,high
high_slack,diving,38,3.5,high
mid_ebb,diving,30,5,mid
mid_ebb,diving,34,5,mid
low_flood,diving,22,2.75,low
low_flood,diving,36,2.75,low
low_flood,diving,37,2.75,low
low_flood,diving,27,2.75,low
low_flood,diving,26,2.75,low
low_flood,diving,30,2.75,low
high_ebb,diving,45,3.2,high
high_ebb,diving,55,3.2,high
high_ebb,diving,45,3.2,high
high_ebb,diving,53,11,high
high_ebb,diving,56,11,high
high_ebb,diving,62,11,high
high_ebb,diving,31,11,high
high_ebb,diving,49,11,high
high_ebb,diving,48,11,high
high_ebb,diving,42,11,high
high_ebb,diving,57,11,high
high_ebb,diving,50,11,high
high_ebb,diving,49,11,high
high_ebb,diving,40,11,high
high_ebb,diving,50,11,high
high_ebb,diving,45,11,high
high_ebb,diving,24,11,high
mid_ebb,diving,24,4,mid
mid_ebb,diving,33,4,mid
mid_ebb,diving,12,4,mid
mid_ebb,diving,9,4,mid
mid_ebb,diving,19,4,mid
mid_ebb,diving,41,4,mid
low_slack,diving,63,0.22,low
low_slack,diving,78,0.22,low
